PLAYER_ID,PLAYER_NAME,TEAM,AGE,HEIGHT,WEIGHT,DRAFT YEAR,,EXPERIENCE,TEAM_ID ,,,,,,,,,,,,,
243,Jerami Grant,OKC,25,6'9'',220,2014,2019,5,21,,,,,,,,,,,,,
244,Jeremy Lamb,CHA,27,6'5'',185,2012,2019,7,4,,,,,,,,,,,,,
245,Jeremy Lin,TOR,30,6'3'',200,Undrafted,2019,0,28,,,,,,,,,,,,,
246,Jerian Grant,ORL,26,6'4'',205,2015,2019,4,22,,,,,,,,,,,,,
247,Jerome Robinson,LAC,22,6'5'',190,2018,2019,1,13,,,,,,,,,,,,,
248,Jerryd Bayless,MIN,30,6'3'',200,2008,2019,11,18,,,,,,,,,,,,,
249,Jevon Carter,MEM,23,6'2'',196,2018,2019,1,15,,,,,,,,,,,,,
250,Jimmer Fredette,PHX,30,6'2'',195,2011,2019,8,24,,,,,,,,,,,,,
251,Jimmy Butler,PHI,29,6'8'',232,2011,2019,8,23,,,,,,,,,,,,,
252,JJ Redick,PHI,35,6'4'',200,2006,2019,13,23,,,,,,,,,,,,,
253,Joakim Noah,MEM,34,6'11'',230,2007,2019,12,15,,,,,,,,,,,,,
254,Jodie Meeks,TOR,31,6'4'',210,2009,2019,10,28,,,,,,,,,,,,,
255,Joe Chealey,CHA,23,6'3'',190,Undrafted,2019,0,4,,,,,,,,,,,,,
256,Joe Harris,BKN,27,6'6'',218,2014,2019,5,3,,,,,,,,,,,,,
257,Joe Ingles,UTA,31,6'8'',226,Undrafted,2019,0,29,,,,,,,,,,,,,
258,Joel Embiid,PHI,25,7'1'',250,2014,2019,5,23,,,,,,,,,,,,,
259,John Collins,ATL,21,6'10'',235,2017,2019,2,1,,,,,,,,,,,,,
260,John Henson,CLE,28,6'11'',219,2012,2019,7,6,,,,,,,,,,,,,
261,John Holland,CLE,30,6'5'',205,Undrafted,2019,0,6,,,,,,,,,,,,,
262,John Jenkins,NYK,28,6'4'',215,2012,2019,7,20,,,,,,,,,,,,,
263,John Wall,WAS,28,6'4'',210,2010,2019,9,30,,,,,,,,,,,,,
264,Johnathan Motley,LAC,24,6'10'',230,Undrafted,2019,0,13,,,,,,,,,,,,,
265,Johnathan Williams,LAL,24,6'9'',228,Undrafted,2019,0,14,,,,,,,,,,,,,
266,Jon Leuer,DET,30,6'10'',228,2011,2019,8,9,,,,,,,,,,,,,
267,Jonah Bolden,PHI,23,6'10'',220,2017,2019,2,23,,,,,,,,,,,,,
268,Jonas Jerebko,GSW,32,6'10'',231,2009,2019,10,10,,,,,,,,,,,,,
269,Jonas Valanciunas,MEM,27,7'1'',265,2011,2019,8,15,,,,,,,,,,,,,
270,Jonathan Isaac,ORL,21,6'10'',210,2017,2019,2,22,,,,,,,,,,,,,
271,Jonathon Simmons,PHI,29,6'6'',195,Undrafted,2019,0,23,,,,,,,,,,,,,
272,Jordan Bell,GSW,24,6'9'',224,2017,2019,2,10,,,,,,,,,,,,,
273,Jordan Clarkson,CLE,27,6'5'',194,2014,2019,5,6,,,,,,,,,,,,,
274,Jordan Loyd,TOR,25,6'4'',210,Undrafted,2019,0,28,,,,,,,,,,,,,
275,Jordan McRae,WAS,28,6'5'',179,2014,2019,5,30,,,,,,,,,,,,,
276,Jordan Sibert,ATL,26,6'4'',187,Undrafted,2019,0,1,,,,,,,,,,,,,
